Year,Series,Sex,Type of disease,Value
2010,Leprosy,,,4.0
2011,Leprosy,,,11.0
2012,Leprosy,,,9.0
2013,Leprosy,,,2.0
2014,Leprosy,,,6.0
2015,Leprosy,,,9.0
2016,Leprosy,,,8.0
2017,Leprosy,,,1.0
2018,Leprosy,,,12.0
2019,Leprosy,,,3.0
2020,Leprosy,,,1.0
2021,Leprosy,,,7.0
2022,Leprosy,,,3.0
2010,Leprosy,Male,,2.0
2011,Leprosy,Male,,7.0
2012,Leprosy,Male,,7.0
2013,Leprosy,Male,,1.0
2014,Leprosy,Male,,5.0
2015,Leprosy,Male,,5.0
2016,Leprosy,Male,,6.0
2017,Leprosy,Male,,1.0
2018,Leprosy,Male,,10.0
2019,Leprosy,Male,,2.0
2020,Leprosy,Male,,1.0
2021,Leprosy,Male,,5.0
2022,Leprosy,Male,,2.0
2010,Leprosy,Female,,2.0
2011,Leprosy,Female,,3.0
2012,Leprosy,Female,,2.0
2013,Leprosy,Female,,1.0
2014,Leprosy,Female,,1.0
2015,Leprosy,Female,,4.0
2016,Leprosy,Female,,2.0
2017,Leprosy,Female,,0.0
2018,Leprosy,Female,,1.0
2019,Leprosy,Female,,1.0
2020,Leprosy,Female,,0.0
2021,Leprosy,Female,,2.0
2022,Leprosy,Female,,1.0
2010,Leprosy,Unknown,,0.0
2011,Leprosy,Unknown,,1.0
2012,Leprosy,Unknown,,0.0
2013,Leprosy,Unknown,,0.0
2014,Leprosy,Unknown,,0.0
2015,Leprosy,Unknown,,0.0
2016,Leprosy,Unknown,,0.0
2017,Leprosy,Unknown,,0.0
2018,Leprosy,Unknown,,1.0
2019,Leprosy,Unknown,,0.0
2020,Leprosy,Unknown,,0.0
2021,Leprosy,Unknown,,0.0
2022,Leprosy,Unknown,,0.0
2010,Rabies,,,0.0
2011,Rabies,,,0.0
2012,Rabies,,,1.0
2013,Rabies,,,0.0
2014,Rabies,,,0.0
2015,Rabies,,,0.0
2016,Rabies,,,0.0
2017,Rabies,,,0.0
2018,Rabies,,,0.0
2019,Rabies,,,1.0
2020,Rabies,,,0.0
2021,Rabies,,,0.0
2022,Rabies,,,0.0
2010,Rabies,Male,,0.0
2011,Rabies,Male,,0.0
2012,Rabies,Male,,1.0
2013,Rabies,Male,,0.0
2014,Rabies,Male,,0.0
2015,Rabies,Male,,0.0
2016,Rabies,Male,,0.0
2017,Rabies,Male,,0.0
2018,Rabies,Male,,0.0
2019,Rabies,Male,,1.0
2020,Rabies,Male,,0.0
2021,Rabies,Male,,0.0
2022,Rabies,Male,,0.0
2010,Rabies,Female,,0.0
2011,Rabies,Female,,0.0
2012,Rabies,Female,,0.0
2013,Rabies,Female,,0.0
2014,Rabies,Female,,0.0
2015,Rabies,Female,,0.0
2016,Rabies,Female,,0.0
2017,Rabies,Female,,0.0
2018,Rabies,Female,,0.0
2019,Rabies,Female,,0.0
2020,Rabies,Female,,0.0
2021,Rabies,Female,,0.0
2022,Rabies,Female,,0.0
2010,,,Rabies,
2011,,,Rabies,
2012,,,Rabies,
2013,,,Rabies,
2014,,,Rabies,
2015,,,Rabies,
2016,,,Rabies,
2017,,,Rabies,
2018,,,Rabies,
2019,,,Rabies,
2020,,,Rabies,
2021,,,Rabies,
2022,,,Rabies,
2010,,,Leprosy,
2011,,,Leprosy,
2012,,,Leprosy,
2013,,,Leprosy,
2014,,,Leprosy,
2015,,,Leprosy,
2016,,,Leprosy,
2017,,,Leprosy,
2018,,,Leprosy,
2019,,,Leprosy,
2020,,,Leprosy,
2021,,,Leprosy,
2022,,,Leprosy,
